customer_id,frequency,monetary_total,monetary_avg,monetary_min,monetary_max,monetary_std,recency_days,first_purchase_days,customer_tenure_days,avg_days_between_purchases,is_one_time_buyer,unique_service_count,unique_service_category,unique_location,favorite_category,pct_spent_cosmetic,pct_spent_diagnostic,pct_spent_maintenance,pct_spent_repair,total_offer_received,total_opens,open_rate,total_clicks,click_rate,total_redemptions,redemption_rate,favorite_offer_type,redemptions_bundle,redemptions_credit,redemptions_discount,redemptions_free_service,redemptions_points,redemptions_referral,cluster
000FYBC8DF,2,196.18,98.09,66.74,129.44,44.34,302,413,111,55.5,0,2,2,1,Repair,0.0,0.34,0.0,0.66,8,4,0.5,1,0.125,0,0.0,Free Service,0.0,0.0,0.0,0.0,0.0,0.0,7
000H71LBFZ,5,384.22,76.84,74.1,78.92,2.04,149,1055,906,181.2,0,1,1,2,Diagnostic,0.0,1.0,0.0,0.0,6,2,0.333,1,0.167,0,0.0,Discount,0.0,0.0,0.0,0.0,0.0,0.0,7
000K6VUDRA,6,773.11,128.85,76.05,158.5,30.33,217,1088,871,145.2,0,3,3,4,Cosmetic,0.584,0.098,0.0,0.318,3,1,0.333,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,3
000KHSF0MV,4,387.28,96.82,59.77,157.34,42.61,60,301,241,60.2,0,3,2,4,Maintenance,0.0,0.353,0.647,0.0,7,3,0.429,2,0.286,0,0.0,Discount,0.0,0.0,0.0,0.0,0.0,0.0,8
000KRP0VYR,5,419.31,83.86,27.77,156.08,46.51,421,964,543,108.6,0,3,3,2,Repair,0.372,0.0,0.066,0.562,9,5,0.556,3,0.333,1,0.111,Discount,0.0,0.0,1.0,0.0,0.0,0.0,2
000MH0O1Z3,2,250.92,125.46,81.91,169.01,61.59,246,746,500,250.0,0,2,2,1,Cosmetic,0.674,0.0,0.0,0.326,3,2,0.667,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,1
000MH8E2Y7,2,261.2,130.6,115.09,146.11,21.93,111,275,164,82.0,0,2,2,1,Cosmetic,0.559,0.0,0.0,0.441,3,1,0.333,1,0.333,0,0.0,Credit,0.0,0.0,0.0,0.0,0.0,0.0,1
000MKIEIM8,7,663.0,94.71,29.0,164.7,60.42,137,939,802,114.6,0,4,3,3,Cosmetic,0.712,0.0,0.178,0.11,6,1,0.167,1,0.167,0,0.0,Points,0.0,0.0,0.0,0.0,0.0,0.0,3
000NQJVQMO,3,272.87,90.96,51.93,135.97,42.34,2,994,992,330.7,0,3,2,2,Repair,0.0,0.0,0.19,0.81,6,1,0.167,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,4
000OVOX44R,3,236.37,78.79,72.52,86.66,7.2,353,568,215,71.7,0,1,1,3,Repair,0.0,0.0,0.0,1.0,4,2,0.5,1,0.25,0,0.0,Discount,0.0,0.0,0.0,0.0,0.0,0.0,7
000PLV4DQG,3,407.09,135.7,112.02,151.72,20.93,141,1061,920,306.7,0,2,2,2,Cosmetic,0.725,0.0,0.0,0.275,10,2,0.2,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,1
000R0JPJOY,19,1942.66,102.25,38.78,146.43,33.71,205,1089,884,46.5,0,5,3,4,Repair,0.071,0.0,0.043,0.887,8,2,0.25,1,0.125,0,0.0,Points,0.0,0.0,0.0,0.0,0.0,0.0,0
000SHFJBKS,2,160.57,80.28,73.13,87.44,10.12,24,42,18,9.0,0,1,1,1,Repair,0.0,0.0,0.0,1.0,4,1,0.25,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,7
000UKUUUT3,1,89.11,89.11,89.11,89.11,0.0,959,959,0,0.0,1,1,1,1,Repair,0.0,0.0,0.0,1.0,8,2,0.25,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,9
000ULH9TDQ,6,456.41,76.07,25.86,143.82,39.95,71,1035,964,160.7,0,4,2,1,Repair,0.0,0.0,0.165,0.835,5,2,0.4,1,0.2,0,0.0,Discount,0.0,0.0,0.0,0.0,0.0,0.0,3
000X3FXUDH,3,318.95,106.32,39.87,143.84,57.7,486,1071,585,195.0,0,2,2,1,Repair,0.0,0.0,0.125,0.875,6,3,0.5,1,0.167,1,0.167,Referral,0.0,0.0,0.0,0.0,0.0,1.0,2
000ZMFTBGZ,1,143.31,143.31,143.31,143.31,0.0,1042,1042,0,0.0,1,1,1,1,Cosmetic,1.0,0.0,0.0,0.0,3,1,0.333,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,6
0010BQNYWY,7,763.34,109.05,60.61,203.94,54.93,176,896,720,102.9,0,4,3,3,Diagnostic,0.0,0.271,0.611,0.118,7,2,0.286,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,3
00124DDDXB,3,396.2,132.07,34.42,203.72,87.59,400,706,306,102.0,0,2,1,2,Maintenance,0.0,0.0,1.0,0.0,6,2,0.333,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,1
001FB8HX9P,1,99.59,99.59,99.59,99.59,0.0,440,440,0,0.0,1,1,1,1,Maintenance,0.0,0.0,1.0,0.0,10,2,0.2,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,9
001LAPQO7C,1,101.95,101.95,101.95,101.95,0.0,1074,1074,0,0.0,1,1,1,1,Maintenance,0.0,0.0,1.0,0.0,4,3,0.75,1,0.25,1,0.25,Discount,0.0,0.0,1.0,0.0,0.0,0.0,9
001LBCNN4I,2,56.23,28.12,26.66,29.57,2.06,154,926,772,386.0,0,1,1,2,Maintenance,0.0,0.0,1.0,0.0,7,2,0.286,1,0.143,1,0.143,Credit,0.0,1.0,0.0,0.0,0.0,0.0,7
001LXW0IZL,2,142.49,71.24,35.39,107.1,50.71,651,738,87,43.5,0,2,1,2,Maintenance,0.0,0.0,1.0,0.0,7,2,0.286,1,0.143,1,0.143,Discount,0.0,0.0,1.0,0.0,0.0,0.0,9
001OETYPNI,17,2394.04,140.83,43.01,192.12,42.02,42,1042,1000,58.8,0,6,3,4,Cosmetic,0.715,0.027,0.258,0.0,8,3,0.375,1,0.125,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,0
001QZP27DH,1,136.89,136.89,136.89,136.89,0.0,785,785,0,0.0,1,1,1,1,Cosmetic,1.0,0.0,0.0,0.0,9,5,0.556,3,0.333,1,0.111,Free Service,0.0,0.0,0.0,0.0,0.0,1.0,6
001UROWYQL,5,351.6,70.32,33.4,91.31,22.44,363,1038,675,135.0,0,3,3,3,Repair,0.0,0.189,0.095,0.716,8,2,0.25,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,4
001WHI1FL1,2,224.01,112.0,91.06,132.95,29.62,474,998,524,262.0,0,2,2,2,Maintenance,0.0,0.0,0.406,0.594,5,3,0.6,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,1
001X5S0Z78,5,389.2,77.84,65.32,105.98,16.1,386,896,510,102.0,0,2,2,2,Diagnostic,0.0,0.728,0.272,0.0,7,2,0.286,2,0.286,0,0.0,Free Service,0.0,0.0,0.0,0.0,0.0,0.0,8
001XIP40FM,3,140.02,46.67,26.18,77.78,27.39,783,1076,293,97.7,0,3,1,2,Maintenance,0.0,0.0,1.0,0.0,9,2,0.222,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,9
0022M7Z6O4,7,752.27,107.47,67.0,200.88,49.57,144,608,464,66.3,0,3,3,2,Diagnostic,0.347,0.386,0.267,0.0,6,1,0.167,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,4
0023HAQRAD,6,603.1,100.52,71.9,144.61,32.57,29,1032,1003,167.2,0,3,2,2,Repair,0.0,0.0,0.132,0.868,7,4,0.571,2,0.286,2,0.286,Credit,0.0,1.0,0.0,0.0,0.0,1.0,2
0025U1TMQT,7,575.16,82.17,26.82,138.5,39.03,275,1066,791,113.0,0,5,2,3,Maintenance,0.241,0.0,0.759,0.0,8,2,0.25,1,0.125,0,0.0,Referral,0.0,0.0,0.0,0.0,0.0,0.0,4
002EE9THZ9,1,29.83,29.83,29.83,29.83,0.0,479,479,0,0.0,1,1,1,1,Maintenance,0.0,0.0,1.0,0.0,8,3,0.375,1,0.125,0,0.0,Free Service,0.0,0.0,0.0,0.0,0.0,0.0,9
002GOAPADJ,5,693.89,138.78,84.35,206.78,57.74,38,914,876,175.2,0,3,2,1,Repair,0.0,0.0,0.577,0.423,10,3,0.3,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,1
002H8XYADD,2,166.16,83.08,82.89,83.27,0.27,219,1031,812,406.0,0,1,1,2,Repair,0.0,0.0,0.0,1.0,8,4,0.5,3,0.375,1,0.125,Bundle,0.0,0.0,0.0,1.0,0.0,0.0,2
002J331475,16,1314.55,82.16,26.49,188.32,45.91,281,1065,784,49.0,0,7,2,4,Maintenance,0.0,0.0,0.936,0.064,4,0,0.0,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,0
002M12F00G,2,112.8,56.4,30.32,82.48,36.88,162,197,35,17.5,0,2,1,2,Maintenance,0.0,0.0,1.0,0.0,10,7,0.7,2,0.2,0,0.0,Credit,0.0,0.0,0.0,0.0,0.0,0.0,7
002S7ZD4LC,5,329.01,65.8,61.98,77.05,6.4,76,839,763,152.6,0,2,2,3,Diagnostic,0.0,0.766,0.0,0.234,5,2,0.4,1,0.2,0,0.0,Points,0.0,0.0,0.0,0.0,0.0,0.0,7
002SP9NGQZ,4,382.76,95.69,69.95,140.69,31.65,543,1082,539,134.8,0,4,3,3,Repair,0.0,0.204,0.246,0.55,4,2,0.5,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,3
002XR7B6XD,3,383.66,127.89,99.06,153.83,27.5,209,1019,810,270.0,0,2,2,3,Cosmetic,0.742,0.0,0.258,0.0,9,4,0.444,1,0.111,1,0.111,Discount,0.0,0.0,1.0,0.0,0.0,0.0,1
002Y7TLCRD,6,612.99,102.16,28.8,172.22,49.37,64,893,829,138.2,0,5,3,2,Maintenance,0.218,0.0,0.656,0.126,9,4,0.444,3,0.333,2,0.222,Discount,0.0,0.0,1.0,0.0,1.0,0.0,2
002ZSOV7UF,3,253.61,84.54,68.48,110.28,22.52,342,1068,726,242.0,0,2,2,2,Repair,0.0,0.0,0.435,0.565,5,1,0.2,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,7
00302MA7E5,7,923.66,131.95,80.1,187.73,38.4,97,928,831,118.7,0,5,4,2,Cosmetic,0.471,0.087,0.299,0.144,3,2,0.667,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,3
0032DTYLEU,18,1407.02,78.17,31.53,138.45,21.79,259,1053,794,44.1,0,7,4,3,Diagnostic,0.098,0.479,0.302,0.121,8,2,0.25,1,0.125,0,0.0,Points,0.0,0.0,0.0,0.0,0.0,0.0,0
0033LD03AM,2,197.73,98.86,60.78,136.95,53.86,287,685,398,199.0,0,2,2,2,Diagnostic,0.0,0.307,0.0,0.693,5,2,0.4,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,7
0035LX2ZSN,5,288.91,57.78,28.78,89.53,23.96,50,659,609,121.8,0,4,2,1,Maintenance,0.0,0.45,0.55,0.0,4,4,1.0,1,0.25,0,0.0,Free Service,0.0,0.0,0.0,0.0,0.0,0.0,8
003CVXQWJH,4,376.9,94.22,90.39,99.61,3.95,77,707,630,157.5,0,1,1,1,Maintenance,0.0,0.0,1.0,0.0,9,3,0.333,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,7
003E399SF0,7,663.99,94.86,37.92,198.64,66.27,326,929,603,86.1,0,4,1,3,Maintenance,0.0,0.0,1.0,0.0,6,2,0.333,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,4
003F4BTCQE,6,323.34,53.89,43.36,90.54,18.14,68,1039,971,161.8,0,2,1,2,Maintenance,0.0,0.0,1.0,0.0,2,1,0.5,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,7
003GZN0LY0,12,1298.05,108.17,74.82,157.55,30.94,143,982,839,69.9,0,4,3,4,Repair,0.121,0.119,0.0,0.76,5,1,0.2,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,0
003HR8892A,7,1127.46,161.07,128.98,180.48,16.46,151,936,785,112.1,0,3,3,4,Cosmetic,0.726,0.0,0.16,0.114,9,5,0.556,3,0.333,0,0.0,Discount,0.0,0.0,0.0,0.0,0.0,0.0,3
003IPMZ7AV,3,403.81,134.6,79.59,195.74,58.32,429,921,492,164.0,0,3,2,2,Repair,0.0,0.0,0.485,0.515,7,1,0.143,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,4
003NJNWO13,2,151.88,75.94,74.16,77.72,2.52,428,604,176,88.0,0,2,2,1,Maintenance,0.0,0.488,0.512,0.0,5,1,0.2,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,7
003O4E6SJF,12,988.95,82.41,34.1,196.43,56.82,23,1071,1048,87.3,0,6,1,5,Maintenance,0.0,0.0,1.0,0.0,7,4,0.571,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,3
003OJMI77I,2,100.76,50.38,49.9,50.86,0.68,173,888,715,357.5,0,1,1,1,Maintenance,0.0,0.0,1.0,0.0,9,3,0.333,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,7
003PK4KL1K,7,558.23,79.75,63.18,128.2,22.13,180,1082,902,128.9,0,2,2,1,Diagnostic,0.0,0.77,0.0,0.23,3,1,0.333,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,4
003R8R73YY,7,504.74,72.11,26.49,186.56,57.37,3,839,836,119.4,0,5,1,5,Maintenance,0.0,0.0,1.0,0.0,8,5,0.625,1,0.125,1,0.125,Bundle,1.0,0.0,0.0,0.0,0.0,0.0,2
003XCJYIQI,1,40.41,40.41,40.41,40.41,0.0,346,346,0,0.0,1,1,1,1,Maintenance,0.0,0.0,1.0,0.0,2,2,1.0,1,0.5,0,0.0,Discount,0.0,0.0,0.0,0.0,0.0,0.0,8
0043K6G3VB,6,673.56,112.26,34.2,171.55,54.13,16,1082,1066,177.7,0,4,3,3,Cosmetic,0.696,0.0,0.189,0.114,10,3,0.3,1,0.1,0,0.0,Credit,0.0,0.0,0.0,0.0,0.0,0.0,3
0045ASPG7W,7,640.07,91.44,33.57,184.32,60.71,15,721,706,100.9,0,5,2,1,Maintenance,0.433,0.0,0.567,0.0,8,3,0.375,1,0.125,0,0.0,Free Service,0.0,0.0,0.0,0.0,0.0,0.0,3
0047GM5CKY,7,688.16,98.31,53.23,153.29,40.93,112,990,878,125.4,0,4,2,3,Maintenance,0.0,0.197,0.803,0.0,5,2,0.4,1,0.2,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,3
0047JJREOT,2,114.21,57.1,42.41,71.8,20.78,237,539,302,151.0,0,2,2,1,Repair,0.0,0.0,0.371,0.629,4,1,0.25,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,7
0049A6U5BH,3,309.47,103.16,75.09,129.86,27.41,95,860,765,255.0,0,3,2,3,Repair,0.0,0.0,0.338,0.662,4,1,0.25,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,4
0049IRP4A8,7,699.03,99.86,50.53,159.88,42.24,126,843,717,102.4,0,6,4,2,Repair,0.229,0.088,0.197,0.487,4,1,0.25,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,3
0049SWXWKY,6,487.5,81.25,45.09,135.75,30.44,143,1002,859,143.2,0,4,3,3,Repair,0.0,0.153,0.092,0.755,9,5,0.556,3,0.333,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,3
004CR994KQ,2,263.34,131.67,129.21,134.13,3.48,99,370,271,135.5,0,1,1,1,Repair,0.0,0.0,0.0,1.0,6,2,0.333,2,0.333,1,0.167,Bundle,0.0,0.0,0.0,1.0,0.0,0.0,2
004CXFCP0D,5,475.06,95.01,48.49,166.14,46.64,175,1039,864,172.8,0,5,2,1,Maintenance,0.0,0.128,0.872,0.0,9,4,0.444,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,3
004DH6X54V,1,136.26,136.26,136.26,136.26,0.0,964,964,0,0.0,1,1,1,1,Cosmetic,1.0,0.0,0.0,0.0,8,0,0.0,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,6
004EWDUA8K,3,299.97,99.99,47.36,185.09,74.38,305,598,293,97.7,0,3,2,3,Maintenance,0.0,0.225,0.775,0.0,2,1,0.5,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,7
004I13K537,7,705.65,100.81,66.58,172.29,39.83,379,961,582,83.1,0,4,4,3,Diagnostic,0.244,0.415,0.149,0.192,6,3,0.5,1,0.167,0,0.0,Points,0.0,0.0,0.0,0.0,0.0,0.0,3
004IZQSMCR,6,580.24,96.71,72.89,142.03,26.99,7,851,844,140.7,0,3,2,4,Repair,0.0,0.0,0.167,0.833,6,3,0.5,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,3
004J6TEEPB,7,756.97,108.14,35.9,205.09,66.36,88,1071,983,140.4,0,4,3,2,Maintenance,0.212,0.206,0.582,0.0,8,3,0.375,1,0.125,0,0.0,Discount,0.0,0.0,0.0,0.0,0.0,0.0,3
004J9T0SW1,3,202.11,67.37,51.13,87.68,18.61,514,923,409,136.3,0,3,2,2,Maintenance,0.0,0.313,0.687,0.0,3,2,0.667,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,7
004JC15MR8,4,428.1,107.02,62.93,168.02,45.44,210,941,731,182.8,0,4,3,1,Repair,0.392,0.147,0.0,0.461,7,3,0.429,1,0.143,0,0.0,Credit,0.0,0.0,0.0,0.0,0.0,0.0,3
004KVA2R8Q,5,326.49,65.3,28.99,177.13,62.8,22,864,842,168.4,0,3,1,1,Maintenance,0.0,0.0,1.0,0.0,3,2,0.667,1,0.333,0,0.0,Credit,0.0,0.0,0.0,0.0,0.0,0.0,8
004KYDE1QG,2,185.95,92.98,38.69,147.26,76.77,382,470,88,44.0,0,2,2,1,Maintenance,0.792,0.0,0.208,0.0,4,3,0.75,2,0.5,0,0.0,Discount,0.0,0.0,0.0,0.0,0.0,0.0,8
004R2AXZGG,2,184.78,92.39,42.54,142.24,70.5,631,839,208,104.0,0,2,2,1,Repair,0.0,0.0,0.23,0.77,7,4,0.571,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,9
004TOG3VFD,6,490.71,81.78,28.91,132.52,39.94,97,856,759,126.5,0,4,4,1,Diagnostic,0.27,0.415,0.059,0.256,3,0,0.0,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,4
004UUDU5TC,7,697.96,99.71,32.91,136.75,33.71,297,1023,726,103.7,0,4,2,2,Repair,0.0,0.0,0.207,0.793,5,3,0.6,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,3
004VJBTTWD,10,735.81,73.58,27.49,198.26,58.67,52,1078,1026,102.6,0,6,2,4,Maintenance,0.213,0.0,0.787,0.0,10,7,0.7,1,0.1,1,0.1,Bundle,1.0,0.0,0.0,0.0,0.0,0.0,3
004VWZKFFK,10,1321.53,132.15,26.55,192.96,50.27,237,1015,778,77.8,0,5,4,3,Cosmetic,0.685,0.045,0.166,0.103,8,5,0.625,4,0.5,0,0.0,Free Service,0.0,0.0,0.0,0.0,0.0,0.0,0
004WE85CXR,2,257.82,128.91,86.82,171.0,59.52,25,752,727,363.5,0,2,2,2,Maintenance,0.663,0.0,0.337,0.0,10,2,0.2,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,1
004WMP1IC7,7,757.68,108.24,29.04,184.72,67.97,68,823,755,107.9,0,5,3,1,Maintenance,0.218,0.0,0.576,0.206,2,1,0.5,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,3
004Y0MCZHU,6,434.09,72.35,31.58,139.58,37.44,195,946,751,125.2,0,4,3,1,Diagnostic,0.0,0.498,0.181,0.322,2,1,0.5,1,0.5,0,0.0,Referral,0.0,0.0,0.0,0.0,0.0,0.0,8
004Y2VBH5J,2,317.69,158.84,145.98,171.71,18.19,679,706,27,13.5,0,1,1,1,Cosmetic,1.0,0.0,0.0,0.0,9,2,0.222,2,0.222,1,0.111,Credit,0.0,1.0,0.0,0.0,0.0,0.0,6
0052PXPOJC,2,258.68,129.34,129.32,129.36,0.03,111,421,310,155.0,0,1,1,2,Cosmetic,1.0,0.0,0.0,0.0,8,3,0.375,2,0.25,2,0.25,Free Service,0.0,0.0,0.0,1.0,1.0,0.0,2
0053F9QI35,3,301.69,100.56,68.5,148.88,42.58,96,643,547,182.3,0,2,1,2,Repair,0.0,0.0,0.0,1.0,10,7,0.7,4,0.4,2,0.2,Bundle,1.0,0.0,0.0,0.0,0.0,1.0,2
0053KOXANE,7,996.51,142.36,86.11,171.42,36.51,71,999,928,132.6,0,3,3,5,Cosmetic,0.819,0.0,0.095,0.086,6,2,0.333,1,0.167,1,0.167,Referral,0.0,0.0,0.0,0.0,0.0,1.0,2
0054H6W3C2,6,511.65,85.28,38.0,145.94,37.65,621,976,355,59.2,0,5,2,4,Maintenance,0.285,0.0,0.715,0.0,2,0,0.0,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,4
0054QWZ23O,2,239.44,119.72,76.69,162.75,60.85,612,812,200,100.0,0,2,2,1,Cosmetic,0.68,0.0,0.0,0.32,9,3,0.333,1,0.111,0,0.0,Free Service,0.0,0.0,0.0,0.0,0.0,0.0,6
005B8B446S,6,919.16,153.19,131.83,169.17,14.83,90,1021,931,155.2,0,1,1,3,Cosmetic,1.0,0.0,0.0,0.0,10,3,0.3,2,0.2,0,0.0,Free Service,0.0,0.0,0.0,0.0,0.0,0.0,1
005CRKIRGU,7,994.5,142.07,97.15,169.83,24.92,361,1077,716,102.3,0,2,2,4,Cosmetic,0.902,0.0,0.098,0.0,6,3,0.5,2,0.333,1,0.167,Discount,0.0,0.0,1.0,0.0,0.0,0.0,2
005HJKHXP8,6,716.69,119.45,50.27,172.45,44.01,31,1035,1004,167.3,0,3,2,1,Cosmetic,0.809,0.0,0.191,0.0,3,1,0.333,1,0.333,0,0.0,Credit,0.0,0.0,0.0,0.0,0.0,0.0,8
005HZJ2BG8,2,107.51,53.76,28.75,78.76,35.36,334,625,291,145.5,0,2,1,2,Maintenance,0.0,0.0,1.0,0.0,3,1,0.333,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,7
005LNUQUYM,11,980.75,89.16,44.3,135.72,27.41,275,902,627,57.0,0,6,2,6,Repair,0.0,0.0,0.285,0.715,3,0,0.0,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,4
005NUY2RZE,5,456.8,91.36,25.62,138.64,40.88,145,723,578,115.6,0,3,2,3,Maintenance,0.304,0.0,0.696,0.0,8,5,0.625,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,3
005O6D7HL7,1,76.77,76.77,76.77,76.77,0.0,448,448,0,0.0,1,1,1,1,Diagnostic,0.0,1.0,0.0,0.0,5,3,0.6,1,0.2,0,0.0,Free Service,0.0,0.0,0.0,0.0,0.0,0.0,9
005RCTKTS7,3,207.88,69.29,63.08,76.86,6.99,777,1025,248,82.7,0,1,1,1,Diagnostic,0.0,1.0,0.0,0.0,8,3,0.375,1,0.125,1,0.125,Bundle,1.0,0.0,0.0,0.0,0.0,0.0,9
005RXG4OC2,2,320.97,160.49,152.74,168.23,10.95,685,907,222,111.0,0,1,1,1,Cosmetic,1.0,0.0,0.0,0.0,5,4,0.8,1,0.2,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,6
005S1QQUAX,4,437.16,109.29,71.03,149.02,41.79,119,660,541,135.2,0,3,2,3,Repair,0.0,0.162,0.0,0.838,10,4,0.4,3,0.3,2,0.2,Points,0.0,1.0,0.0,0.0,1.0,0.0,2
